numero_station,date_heure,co,no,no2,pm2_5,pst,pm10,o3,so2,bc1_370nm,bc6_880nm,Benzene,Toluene,Ethylbenzene,M P-Xylene,O-Xylene
3,2020-01-05 15:00,N/M,0.796648,1.766183,2.408632,N/M,N/M,33.37032,0,N/M,N/M,0.397347,4.604887,0.052498,0.199637,0.071597
3,2020-01-05 16:00,N/M,0.722168,2.193005,3.5413,N/M,N/M,32.03456,0.020035,N/M,N/M,0.423887,7.62604,0.041055,0.158555,0.049458
3,2020-01-05 17:00,N/M,1.067628,4.858431,3.536627,N/M,N/M,29.40232,0.727044,N/M,N/M,0.453763,5.425527,0.079998,0.240722,0.085179
3,2020-01-05 18:00,N/M,1.274178,6.171529,4.258165,N/M,N/M,28.16721,2.232543,N/M,N/M,1.963778,1.088889,0.0933333,0.2651111,0.1197778
3,2020-01-05 19:00,N/M,0.56031,5.202369,4.803865,N/M,N/M,28.59597,0.842296,N/M,N/M,0.839457,1.378013,0.072319,0.231902,0.104541
3,2020-01-05 20:00,N/M,0.370943,4.879818,5.146766,N/M,N/M,28.88764,0.231666,N/M,N/M,0.668958,1.026512,0.087665,0.21561,0.083457
3,2020-01-05 21:00,N/M,0.913631,5.543539,6.428598,N/M,N/M,27.84572,0.092317,N/M,N/M,0.510375,6.621611,0.085401,0.250151,0.10204
3,2020-01-05 22:00,N/M,0.15373,5.834369,8.636631,N/M,N/M,26.96658,0.027223,N/M,N/M,0.500597,22.87008,0.109888,0.3345,0.120457
3,2020-01-05 23:00,N/M,0.207883,9.533268,9.294933,N/M,N/M,22.34601,0,N/M,N/M,0.677694,5.426387,0.132694,0.428972,0.17036
3,2020-01-05 00:00,N/M,0.028959,6.422994,10.13663,N/M,N/M,24.08476,0,N/M,N/M,0.680305,1.203513,0.113875,0.336638,0.118652
3,2020-01-06 01:00,N/M,0.156837,7.676502,10.32212,N/M,N/M,22.30293,0,N/M,N/M,0.735,1.374915,0.151596,0.480304,0.178554
3,2020-01-06 02:00,N/M,0.208784,5.373909,7.531033,N/M,N/M,25.20062,0,N/M,N/M,0.566111,0.741041,0.081804,0.240082,0.092165
3,2020-01-06 03:00,N/M,0,4.450133,8.599699,N/M,N/M,25.50136,0,N/M,N/M,0.530332,0.647499,0.047138,0.194998,0.079998
3,2020-01-06 04:00,N/M,0,6.355945,11.2666,N/M,N/M,21.36647,0,N/M,N/M,0.673888,0.808708,0.122318,0.288374,0.09
3,2020-01-06 05:00,N/M,0,7.703441,10.69983,N/M,N/M,19.94644,0,N/M,N/M,0.813583,1.064277,0.1375,0.436416,0.151958
3,2020-01-06 06:00,N/M,0.135986,2.45261,4.967465,N/M,N/M,28.45111,0,N/M,N/M,0.580958,0.757068,0.079305,0.271833,0.087165
3,2020-01-06 07:00,N/M,0,2.925733,4.245366,N/M,N/M,28.03122,0,N/M,N/M,0.476027,0.561179,0.035875,0.17193,0.040513
3,2020-01-06 08:00,N/M,0.909268,9.676869,5.599833,N/M,N/M,20.7524,0,N/M,N/M,0.663347,0.984138,0.115152,0.346179,0.140513
3,2020-01-06 09:00,N/M,0.602334,5.476705,4.5509,N/M,N/M,26.51978,0.002359,N/M,N/M,0.672762,1.155194,0.138971,0.441527,0.156471
